,c_cluster,cancelled_contracts,claims_rate,educ,first_policy,has_all,has_children,is_profit,location,mon_value,p_cluster,premium_health,premium_household,premium_life,premium_motor,premium_total,premium_work_comp,salary_year
115,1,0,0.62,3 - BSc/MSc,1986.0,1,0.0,1,3.0,305.05,0,159.14,330.05,31.34,324.95,872.04,26.56,43800.0
116,2,0,0.56,2 - High School,1989.0,1,1.0,1,1.0,422.18,1,109.02,511.75,8.89,311.17,1005.4000000000001,64.57,17328.0
117,1,0,0.57,3 - BSc/MSc,1997.0,1,1.0,1,4.0,290.17,0,199.15,181.7,29.45,273.94,725.47,41.23,28824.0
118,2,0,0.18,1 - Basic,1997.0,1,1.0,1,1.0,643.24,1,78.57,294.5,87.24,286.5,815.49,68.68,18216.0
119,0,0,0.89,1 - Basic,1991.0,1,1.0,1,1.0,68.35,1,152.03,343.95,93.35,230.71,856.27,36.23,35484.0
120,1,1,0.35,3 - BSc/MSc,1980.0,0,1.0,1,1.0,319.31,0,130.69,-50.0,11.89,442.64,585.2199999999999,-5.11,31368.0
121,1,0,0.64,2 - High School,1991.0,1,1.0,1,1.0,180.04,1,227.82,3.9,66.68,240.38,574.12,35.34,16944.0
122,0,0,0.99,2 - High School,1977.0,1,1.0,0,4.0,-21.0,0,94.35,108.9,9.89,478.09,705.12,13.89,22236.0
123,0,0,1.0,2 - High School,1978.0,1,0.0,0,3.0,-19.11,1,168.7,750.15,71.79,132.58,1189.1200000000001,65.9,41772.0
124,0,1,0.91,3 - BSc/MSc,1982.0,0,0.0,1,1.0,23.8,1,173.81,-55.0,98.24,202.04,580.11,106.02,47652.0
125,0,0,0.82,4 - PhD,1979.0,1,1.0,1,1.0,93.25,0,83.46,87.8,37.34,437.75,653.24,6.89,39264.0
126,1,0,0.49,2 - High School,1989.0,1,1.0,1,4.0,317.06,1,311.06,113.35,10.78,219.04,674.6800000000001,20.45,19380.0
127,1,0,0.12,2 - High School,1997.0,1,1.0,1,2.0,518.1,0,74.57,44.45,5.0,489.87,617.6700000000001,3.78,27936.0
128,0,0,1.06,3 - BSc/MSc,1994.0,1,1.0,0,4.0,-67.23,1,347.51,171.7,21.56,167.92,729.3599999999999,20.67,17076.0
129,0,0,0.82,3 - BSc/MSc,1978.0,1,0.0,1,2.0,100.79,1,237.71,138.35,35.34,243.27,702.57,47.9,42924.0
130,1,1,0.14,4 - PhD,1976.0,0,1.0,1,2.0,543.21,0,86.35,79.45,-1.11,490.98,660.6700000000001,3.89,21720.0
131,1,0,0.65,3 - BSc/MSc,1988.0,1,0.0,1,4.0,241.72,1,256.27,225.6,41.12,232.49,761.37,5.89,30192.0
132,1,0,0.31,2 - High School,1994.0,1,0.0,1,4.0,456.76,0,105.13,127.25,104.02,354.51,700.8,9.89,45588.0
133,1,0,0.69,2 - High School,1979.0,0,1.0,1,2.0,149.59,0,0.0,305.6,37.34,194.26,554.87,17.67,30456.0
134,1,0,0.25,2 - High School,1978.0,1,1.0,1,1.0,649.67,0,193.48,349.5,30.45,320.17,898.6000000000001,5.0,38652.0
135,2,0,0.41,2 - High School,1987.0,1,1.0,1,1.0,511.42,1,149.36,364.5,73.57,285.83,913.6,40.34,33180.0
136,0,0,0.98,4 - PhD,1997.0,1,0.0,0,1.0,-12.11,0,131.47,152.25,18.67,391.63,699.8,5.78,37164.0
137,0,0,0.66,4 - PhD,1984.0,1,1.0,1,2.0,210.71,1,287.5,138.35,19.56,213.04,700.68,42.23,15192.0
138,0,0,1.03,2 - High School,1996.0,1,1.0,0,4.0,-44.78,0,180.48,18.9,35.34,345.73,600.23,19.78,21684.0
139,0,1,1.12,1 - Basic,1983.0,0,1.0,0,1.0,-96.11,1,381.85,-11.1,47.23,144.36,586.22,12.78,30648.0
140,0,0,0.85,3 - BSc/MSc,1992.0,1,1.0,1,4.0,72.8,1,177.7,97.8,48.12,272.72,654.13,57.79,28104.0
141,1,0,0.43,2 - High School,1979.0,1,1.0,1,3.0,374.41,1,173.81,123.9,131.47,116.69,697.12,151.25,35412.0
142,1,0,0.09,3 - BSc/MSc,1982.0,1,1.0,1,3.0,521.99,0,44.12,15.0,9.89,522.1,599.0,7.89,31788.0
143,1,0,0.47,2 - High School,1993.0,1,0.0,1,4.0,463.54,1,167.81,426.75,30.45,264.94,921.2900000000001,31.34,44232.0
144,2,0,0.48,2 - High School,1977.0,1,1.0,1,3.0,433.97,1,241.38,358.95,6.89,165.03,879.16,106.91,13752.0
145,0,0,0.97,2 - High School,1981.0,1,0.0,1,4.0,10.34,1,79.57,785.7,136.47,125.8,1228.67,101.13,21036.0
146,0,1,1.03,3 - BSc/MSc,1990.0,0,1.0,0,3.0,-40.55,0,129.47,-15.55,8.78,423.08,573.1099999999999,11.78,20208.0
147,1,1,0.12,3 - BSc/MSc,1997.0,0,0.0,1,2.0,477.21,0,58.9,-10.0,3.89,512.32,579.11,4.0,27996.0
148,2,1,0.43,3 - BSc/MSc,1986.0,0,0.0,1,3.0,589.33,1,321.84,614.55,-0.11,100.13,1084.75,48.23,16248.0
149,0,0,0.78,2 - High School,1984.0,1,0.0,1,4.0,130.04,0,189.59,175.6,20.56,321.95,711.4799999999999,3.78,45900.0
150,1,0,0.44,3 - BSc/MSc,1988.0,1,1.0,1,3.0,343.07,0,135.36,93.35,12.78,395.52,651.68,14.67,14172.0
151,1,1,0.22,3 - BSc/MSc,1976.0,0,1.0,1,2.0,413.31,0,71.79,-35.0,26.56,484.98,594.9999999999999,11.67,36528.0
152,0,1,1.05,3 - BSc/MSc,1996.0,0,1.0,0,2.0,-52.0,0,91.35,-15.0,7.89,497.76,597.0,-12.0,26808.0
153,1,1,0.06,3 - BSc/MSc,1983.0,0,1.0,1,4.0,509.11,0,28.45,-15.55,7.0,551.66,587.11,-3.0,36984.0
154,1,0,0.25,3 - BSc/MSc,1975.0,1,0.0,1,1.0,471.21,0,142.47,87.8,9.78,349.4,658.2399999999999,68.79,27420.0
155,1,0,0.3,3 - BSc/MSc,1984.0,1,1.0,1,1.0,423.64,0,124.69,63.35,18.67,429.97,638.5699999999999,1.89,19824.0
156,0,1,0.81,2 - High School,1991.0,0,1.0,1,4.0,103.02,0,127.47,128.35,7.89,416.08,679.79,-4.11,28944.0
157,1,0,0.51,3 - BSc/MSc,1997.0,1,1.0,1,2.0,269.61,0,249.38,38.35,18.56,282.72,595.68,6.67,16824.0
158,1,0,0.26,3 - BSc/MSc,1981.0,1,0.0,1,4.0,446.08,0,117.8,64.45,12.67,429.97,635.56,10.67,25860.0
159,1,0,0.52,1 - Basic,1995.0,1,1.0,1,4.0,493.43,1,160.14,599.0,128.69,120.8,1089.1999999999998,80.57,43404.0
160,1,0,0.67,3 - BSc/MSc,1996.0,1,0.0,1,2.0,188.93,1,284.61,97.25,14.67,228.6,650.8,25.67,47928.0
161,0,0,0.72,2 - High School,1977.0,1,1.0,1,4.0,205.16,1,245.38,313.4,93.13,158.03,819.8299999999999,9.89,11124.0
162,1,1,0.58,3 - BSc/MSc,1988.0,0,0.0,1,3.0,211.84,0,311.17,-10.55,4.78,249.38,569.1099999999999,3.78,38352.0
163,1,0,0.4,1 - Basic,1984.0,1,0.0,1,4.0,455.87,1,212.93,274.5,23.67,182.7,800.5999999999999,106.8,46992.0
164,1,0,0.29,2 - High School,1987.0,1,1.0,1,4.0,437.31,0,176.81,88.35,7.78,342.51,654.6800000000001,39.23,31308.0
165,0,0,0.96,2 - High School,1993.0,1,1.0,1,2.0,5.34,1,132.47,342.85,40.34,256.05,842.3900000000001,70.68,34824.0
166,0,0,0.9,4 - PhD,1990.0,1,1.0,1,1.0,38.01,0,99.24,63.9,1.89,458.31,626.12,2.78,19968.0
167,1,1,0.32,2 - High School,1977.0,0,1.0,1,4.0,360.63,0,151.03,-5.0,24.45,389.85,571.11,5.78,34248.0
168,0,0,1.05,3 - BSc/MSc,1985.0,1,0.0,0,4.0,-57.9,1,230.82,88.9,57.9,236.49,678.01,63.9,38376.0
169,1,0,0.28,2 - High School,1987.0,1,1.0,1,3.0,453.2,0,104.13,78.35,3.0,455.42,660.68,19.78,25236.0
170,0,0,0.86,3 - BSc/MSc,1988.0,1,1.0,1,3.0,74.35,0,216.93,113.35,11.67,324.06,691.6799999999998,25.67,23748.0
171,1,0,0.6,2 - High School,1984.0,1,0.0,1,3.0,284.07,1,158.03,263.95,45.12,99.02,775.16,209.04,20868.0
172,0,0,0.91,3 - BSc/MSc,1980.0,1,0.0,1,3.0,61.13,1,242.38,397.85,76.68,162.81,918.1700000000001,38.45,38808.0
173,0,1,1.0,2 - High School,1982.0,0,0.0,0,1.0,-25.66,1,220.93,363.4,28.56,263.05,875.94,-0.22,49092.0
174,0,0,0.86,2 - High School,1995.0,1,0.0,1,1.0,133.92,1,207.26,634.0,73.57,158.92,1097.2,23.45,9912.0
175,1,1,0.22,3 - BSc/MSc,1977.0,0,1.0,1,2.0,465.65,0,129.58,59.45,6.89,431.86,627.78,-0.22,26340.0
176,0,0,1.07,2 - High School,1993.0,0,1.0,0,4.0,-62.23,1,230.6,253.95,5.89,0.0,533.56,43.12,29028.0
177,1,0,0.27,3 - BSc/MSc,1983.0,1,1.0,1,1.0,426.64,0,101.02,53.35,1.89,451.64,622.5699999999999,14.67,12240.0
178,0,0,1.07,1 - Basic,1993.0,1,1.0,0,2.0,-128.24,1,82.57,1026.3,75.68,33.23,1429.93,212.15,14964.0
179,1,1,0.19,4 - PhD,1984.0,0,1.0,1,4.0,422.99,0,92.13,-10.55,3.89,461.2,565.1099999999999,7.89,23088.0
180,0,0,0.79,3 - BSc/MSc,1977.0,1,1.0,1,3.0,201.82,1,200.26,560.65,6.89,233.71,1057.52,56.01,36420.0
181,0,0,0.94,3 - BSc/MSc,1986.0,1,1.0,1,2.0,9.34,0,129.58,24.45,9.89,314.95,599.56,120.69,36684.0
182,0,1,0.93,3 - BSc/MSc,1978.0,0,1.0,1,4.0,18.34,0,29.34,34.45,11.89,532.88,608.5600000000001,-1.0,31440.0
183,2,0,0.12,1 - Basic,1996.0,1,0.0,1,2.0,872.07,1,76.46,587.9,22.45,106.02,1018.4300000000001,225.6,17832.0
184,1,1,0.25,3 - BSc/MSc,1978.0,0,1.0,1,4.0,436.42,0,150.14,34.45,-6.0,421.3,623.56,17.67,42528.0
185,0,0,1.0,4 - PhD,1991.0,1,1.0,0,2.0,-25.0,0,80.35,39.45,5.89,491.87,623.5600000000001,6.0,30588.0
186,0,1,1.14,3 - BSc/MSc,1990.0,0,1.0,0,4.0,-101.0,0,115.8,-65.0,0.0,469.31,596.11,11.0,28188.0
187,1,0,0.39,3 - BSc/MSc,1986.0,1,0.0,1,4.0,379.63,0,199.37,68.9,20.67,346.62,667.1199999999999,31.56,37380.0
188,0,1,1.05,3 - BSc/MSc,1994.0,0,1.0,0,4.0,-51.54,0,60.9,-25.55,22.56,499.76,585.2199999999999,2.0,45672.0
