,birth_year,educ,salary_year,location,has_children,mon_value,claims_rate,premium_motor,premium_household,premium_health,premium_life,premium_work_comp,customer_since,is_family_policy,premium_total,cancelled_contracts,nr_contracts,p_cluster,c_cluster
26,1942.0,4 - PhD,43428.0,1.0,0.0,-7.22,0.97,449.75,58.9,112.91,17.78,9.78,1979.0,0,649.1199999999999,0,5,2,1
27,1952.0,3 - BSc/MSc,43668.0,4.0,0.0,264.17,0.5,301.28,18.9,258.05,-4.0,-0.11,1995.0,0,578.23,2,3,1,0
28,1972.0,3 - BSc/MSc,31920.0,3.0,0.0,2.0,0.96,524.21,25.0,54.9,7.0,-5.0,1980.0,0,611.11,1,4,2,1
29,1975.0,2 - High School,25776.0,4.0,1.0,427.76,0.19,483.09,-15.0,92.24,3.89,-5.11,1988.0,0,579.2199999999999,2,3,2,0
30,1953.0,2 - High School,41880.0,4.0,0.0,240.16,0.69,320.95,335.05,146.25,46.12,9.67,1984.0,0,858.04,0,5,1,1
31,1970.0,3 - BSc/MSc,25512.0,4.0,1.0,-2.44,0.96,473.09,19.45,89.24,4.78,7.89,1989.0,0,594.4499999999999,0,5,2,2
32,1979.0,2 - High School,19212.0,1.0,1.0,-5.55,0.97,373.96,19.45,179.7,22.56,10.89,1987.0,0,606.5599999999998,0,5,2,2
33,1945.0,3 - BSc/MSc,43944.0,3.0,0.0,336.07,0.48,320.84,123.35,131.58,40.23,72.68,1979.0,0,688.6800000000001,0,5,1,0
34,1966.0,2 - High School,29040.0,3.0,0.0,53.8,0.89,241.49,190.6,125.8,111.8,65.79,1990.0,0,735.4799999999999,0,5,0,2
35,1972.0,2 - High School,28812.0,4.0,1.0,7.24,0.94,320.95,-25.55,145.25,26.56,84.35,1982.0,0,577.11,1,4,2,2
36,1955.0,2 - High School,40116.0,1.0,0.0,-31.78,1.01,495.87,68.9,68.57,3.0,9.78,1976.0,0,646.1199999999999,0,5,2,1
37,1941.0,2 - High School,47820.0,3.0,0.0,-14.22,0.98,104.02,142.8,357.18,53.01,40.23,1985.0,0,697.24,0,5,1,1
38,1938.0,3 - BSc/MSc,46296.0,1.0,0.0,-1.55,0.96,334.84,63.35,207.04,17.67,5.78,1980.0,0,628.68,0,5,1,1
39,1995.0,2 - High School,14124.0,4.0,1.0,121.36,0.84,52.01,455.65,135.47,146.36,148.03,1995.0,1,937.52,0,5,0,2
40,1955.0,3 - BSc/MSc,39072.0,1.0,1.0,402.63,0.47,265.05,270.6,130.47,108.02,25.34,1988.0,0,799.4800000000001,0,5,1,0
41,1968.0,2 - High School,25392.0,4.0,1.0,710.8,0.19,323.84,383.4,168.92,3.0,25.56,1994.0,0,904.7199999999999,0,5,1,0
42,1982.0,2 - High School,16236.0,2.0,1.0,-77.01,1.07,159.14,249.5,284.61,52.01,23.34,1994.0,0,768.6,0,5,1,2
43,1990.0,3 - BSc/MSc,12780.0,1.0,1.0,-128.68,1.19,111.8,-35.0,208.26,224.71,44.23,1990.0,1,589.0,1,4,0,2
44,1984.0,3 - BSc/MSc,23244.0,3.0,1.0,624.34,0.38,139.58,540.1,180.59,106.13,75.79,1991.0,0,1042.19,0,5,0,3
45,1986.0,3 - BSc/MSc,14628.0,4.0,1.0,-94.9,1.08,269.94,300.6,143.25,59.79,69.9,1986.0,1,843.4799999999999,0,5,1,2
46,1938.0,2 - High School,50796.0,3.0,0.0,279.28,0.63,254.38,265.6,209.04,72.68,22.78,1977.0,0,824.48,0,5,1,1
47,1974.0,3 - BSc/MSc,28572.0,3.0,1.0,-132.88,1.2,468.09,-45.55,92.24,1.89,14.89,1985.0,0,577.1099999999999,1,4,2,2
48,1978.0,2 - High School,31920.0,1.0,1.0,-21.11,0.99,396.74,18.9,166.92,16.78,3.89,1986.0,0,603.2299999999999,0,5,2,2
49,1979.0,3 - BSc/MSc,18828.0,4.0,1.0,420.64,0.32,435.75,102.25,105.02,4.78,9.89,1983.0,0,657.6899999999999,0,5,2,0
50,1984.0,3 - BSc/MSc,23520.0,3.0,1.0,-104.21,1.14,360.4,-40.55,212.04,12.78,10.89,1986.0,0,596.1099999999999,1,4,2,2
51,1980.0,2 - High School,13776.0,1.0,1.0,-11.33,0.98,177.59,236.7,295.61,44.12,30.45,1983.0,0,784.47,0,5,1,2
52,1946.0,3 - BSc/MSc,41292.0,3.0,0.0,264.5,0.59,305.17,157.25,227.6,12.89,2.78,1993.0,0,705.6899999999999,0,5,1,1
53,1966.0,3 - BSc/MSc,34620.0,2.0,1.0,-15.22,0.98,559.66,44.45,17.56,-1.11,10.89,1995.0,0,632.56,1,4,2,1
54,1965.0,3 - BSc/MSc,26808.0,4.0,1.0,540.55,0.13,569.55,30.0,36.45,6.0,10.0,1995.0,0,652.0,0,5,2,0
55,1949.0,2 - High School,42456.0,4.0,0.0,294.94,0.66,207.93,452.3,155.25,69.68,62.68,1992.0,0,947.84,0,5,0,1
56,1956.0,2 - High School,35040.0,2.0,1.0,448.98,0.41,286.61,260.05,168.92,72.68,16.78,1978.0,0,805.04,0,5,1,0
57,1984.0,2 - High School,26340.0,3.0,1.0,120.48,0.81,341.73,249.5,84.35,52.9,51.12,1997.0,0,779.6,0,5,2,2
58,1943.0,3 - BSc/MSc,49308.0,4.0,1.0,226.93,0.68,278.83,246.15,217.82,30.34,5.78,1983.0,0,778.92,0,5,1,1
59,1978.0,2 - High School,21876.0,1.0,1.0,224.5,0.68,304.17,249.5,165.81,36.34,15.78,1993.0,0,771.6,0,5,1,2
60,1957.0,3 - BSc/MSc,45144.0,3.0,1.0,-67.32,1.08,464.2,-25.55,89.24,3.89,8.78,1981.0,0,566.1099999999999,1,4,2,1
61,1967.0,2 - High School,39108.0,4.0,1.0,314.51,0.61,364.18,343.95,86.46,23.45,48.12,1987.0,0,866.1600000000001,0,5,2,0
62,1973.0,3 - BSc/MSc,27528.0,3.0,0.0,-124.32,1.19,452.53,-45.55,104.91,17.78,-4.11,1982.0,0,575.2199999999999,2,3,2,2
63,1941.0,3 - BSc/MSc,45120.0,1.0,0.0,132.27,0.78,276.83,175.6,261.27,6.89,-6.11,1998.0,0,720.5899999999999,1,4,1,1
64,1968.0,3 - BSc/MSc,30528.0,3.0,1.0,-25.0,1.0,366.07,78.35,165.81,16.56,7.89,1984.0,0,634.68,0,5,2,1
65,1984.0,2 - High School,22392.0,1.0,1.0,-90.01,1.06,152.03,530.65,202.26,32.34,97.35,1989.0,0,1014.63,0,5,0,2
66,1977.0,2 - High School,16788.0,4.0,1.0,476.65,0.33,330.73,186.7,211.15,0.0,15.78,1983.0,0,744.36,0,4,1,0
67,1984.0,3 - BSc/MSc,25428.0,4.0,1.0,316.98,0.36,384.63,-40.55,151.03,20.56,17.89,1989.0,0,574.1099999999999,1,4,2,0
68,1952.0,2 - High School,40584.0,2.0,0.0,83.9,0.84,183.48,108.9,252.38,65.68,79.68,1994.0,0,690.1200000000001,0,5,1,1
69,1989.0,3 - BSc/MSc,13908.0,4.0,1.0,195.82,0.72,150.03,236.7,286.61,70.79,33.23,1989.0,1,777.36,0,5,1,2
70,1951.0,3 - BSc/MSc,38472.0,4.0,1.0,-25.0,1.0,213.15,217.25,242.6,56.9,59.9,1990.0,0,789.8,0,5,1,1
71,1956.0,2 - High School,28032.0,1.0,1.0,272.61,0.63,246.49,264.5,223.71,51.12,20.78,1993.0,0,806.6,0,5,1,0
72,1980.0,2 - High School,17280.0,1.0,1.0,-25.0,1.0,436.75,65.0,140.47,12.89,0.89,1985.0,0,656.0,0,5,2,2
73,1956.0,3 - BSc/MSc,35208.0,4.0,1.0,234.83,0.66,289.5,211.7,217.82,22.67,29.67,1996.0,0,771.3599999999999,0,5,1,1
74,1949.0,3 - BSc/MSc,50352.0,4.0,0.0,747.03,0.2,183.48,471.75,190.37,43.12,73.68,1996.0,0,962.4000000000001,0,5,1,0
75,1962.0,2 - High School,39408.0,4.0,1.0,74.45,0.85,290.61,99.45,180.59,51.9,50.01,1984.0,0,672.56,0,5,1,1
76,1951.0,4 - PhD,37092.0,3.0,1.0,-50.31,1.04,429.86,-6.1,141.47,6.89,-3.11,1978.0,0,578.22,2,3,2,1
77,1948.0,3 - BSc/MSc,46812.0,4.0,0.0,352.96,0.42,342.73,83.35,150.25,48.12,30.23,1978.0,0,654.6800000000001,0,5,2,0
78,1961.0,1 - Basic,27816.0,4.0,1.0,14.34,0.95,355.51,304.5,136.58,39.34,21.67,1980.0,0,857.6,0,5,2,1
79,1982.0,2 - High School,17172.0,3.0,1.0,274.19,0.46,368.07,-25.55,163.81,29.56,17.78,1986.0,0,579.2199999999999,1,4,2,2
80,1962.0,2 - High School,38808.0,2.0,1.0,308.31,0.35,463.31,-65.0,104.02,0.89,5.78,1992.0,0,574.0,1,4,2,0
81,1985.0,3 - BSc/MSc,21504.0,1.0,1.0,423.53,0.33,291.39,132.25,209.93,30.56,5.67,1995.0,0,669.7999999999998,0,5,1,0
82,1959.0,2 - High School,31872.0,3.0,1.0,-47.67,1.03,238.49,221.7,244.49,22.67,64.01,1997.0,0,791.36,0,5,1,1
83,1968.0,3 - BSc/MSc,29748.0,3.0,0.0,317.83,0.61,399.63,344.5,114.91,7.0,8.67,1976.0,0,874.7099999999999,0,5,2,0
84,1988.0,3 - BSc/MSc,19572.0,4.0,1.0,-19.22,0.99,326.06,307.85,166.81,7.89,5.78,1994.0,0,814.39,0,5,2,2
85,1970.0,3 - BSc/MSc,29076.0,2.0,1.0,-46.0,1.03,581.33,55.0,17.67,-6.0,-1.0,1997.0,0,654.0,2,3,2,2
86,1983.0,3 - BSc/MSc,21348.0,3.0,1.0,-139.11,1.21,193.26,-30.55,291.5,65.68,12.67,1995.0,0,563.11,1,4,1,2
87,1943.0,3 - BSc/MSc,46320.0,4.0,0.0,-54.56,1.05,216.93,48.35,315.95,12.78,16.78,1989.0,0,610.79,0,5,1,1
88,1984.0,3 - BSc/MSc,16992.0,3.0,1.0,402.18,0.4,282.61,163.35,214.04,38.23,19.45,1991.0,0,717.6800000000001,0,5,1,0
89,1939.0,1 - Basic,46836.0,3.0,0.0,238.94,0.64,263.94,196.15,221.93,31.34,29.56,1993.0,0,742.92,0,5,1,1
90,1953.0,3 - BSc/MSc,35712.0,1.0,1.0,-66.12,1.06,324.84,83.35,159.92,32.45,41.12,1987.0,0,641.68,0,5,1,1
91,1979.0,3 - BSc/MSc,23832.0,4.0,1.0,400.86,0.44,393.63,192.8,136.47,11.67,20.56,1982.0,0,755.13,0,5,2,0
92,1984.0,4 - PhD,15240.0,2.0,1.0,174.37,0.71,230.82,126.7,263.05,31.45,25.34,1992.0,0,677.36,0,5,1,2
93,1986.0,3 - BSc/MSc,32016.0,4.0,1.0,-25.0,1.0,296.5,70.0,200.15,60.79,8.67,1986.0,1,636.1099999999999,0,5,1,2
94,1964.0,3 - BSc/MSc,33972.0,4.0,1.0,-91.0,1.12,520.1,-20.0,45.01,-1.0,-8.0,1992.0,0,565.11,3,2,2,1
95,1938.0,2 - High School,47088.0,4.0,0.0,120.47,0.81,169.81,244.5,224.82,26.56,118.91,1996.0,0,784.5999999999999,0,5,1,1
96,1950.0,1 - Basic,46440.0,1.0,1.0,179.26,0.68,204.26,82.8,110.02,185.48,59.68,1988.0,0,642.2399999999999,0,5,0,1
97,1967.0,2 - High School,33660.0,1.0,1.0,14.23,0.94,427.08,142.8,104.13,1.89,37.34,1984.0,0,713.24,0,5,2,1
98,1960.0,2 - High School,32928.0,4.0,1.0,-55.56,1.05,424.97,69.45,133.47,23.67,6.89,1977.0,0,658.4499999999999,0,5,2,1
99,1956.0,1 - Basic,32328.0,3.0,1.0,654.9,0.39,62.68,648.45,210.15,31.45,156.03,1981.0,0,1108.76,0,5,0,0
100,1980.0,2 - High School,24852.0,4.0,1.0,-25.0,1.0,190.59,317.85,188.37,6.89,118.58,1981.0,0,822.2800000000001,0,5,1,2
101,1952.0,3 - BSc/MSc,38328.0,2.0,0.0,257.84,0.53,234.49,48.35,219.82,67.68,28.45,1975.0,0,598.7900000000001,0,5,1,0
102,1979.0,2 - High School,28104.0,1.0,1.0,46.12,0.89,349.4,73.9,170.92,37.23,2.78,1996.0,0,634.2299999999999,0,5,2,2
103,1988.0,3 - BSc/MSc,24228.0,4.0,1.0,-2.65,0.97,89.24,82.25,408.41,19.56,40.34,1988.0,1,639.8000000000001,0,5,1,2
104,1948.0,3 - BSc/MSc,41760.0,3.0,0.0,201.82,0.71,297.61,240.6,218.82,13.78,14.67,1979.0,0,785.4799999999999,0,5,1,1
105,1958.0,2 - High School,44076.0,3.0,1.0,133.81,0.77,292.61,108.35,117.91,12.67,146.14,1989.0,0,677.68,0,5,1,1
106,1995.0,1 - Basic,9168.0,4.0,1.0,71.24,0.93,79.68,912.95,97.24,213.04,16.56,1995.0,1,1319.47,0,5,0,3
107,1976.0,2 - High School,25512.0,3.0,1.0,317.29,0.54,368.29,158.35,189.37,22.67,-1.11,1980.0,0,738.68,1,4,2,0
108,1966.0,3 - BSc/MSc,24468.0,4.0,1.0,385.66,0.25,482.09,-35.55,99.13,1.0,-0.11,1990.0,0,582.22,2,3,2,0
109,1950.0,3 - BSc/MSc,42084.0,3.0,0.0,343.52,0.43,330.95,72.8,108.91,35.23,99.35,1991.0,0,647.24,0,5,2,0
110,1971.0,3 - BSc/MSc,27084.0,3.0,1.0,231.49,0.66,285.83,182.25,231.82,29.34,29.56,1993.0,0,758.8,0,5,1,2
111,1973.0,3 - BSc/MSc,24708.0,4.0,1.0,344.3,0.49,405.3,187.25,136.58,9.78,-12.0,1992.0,0,738.91,1,4,2,0
112,1975.0,2 - High School,22008.0,3.0,1.0,330.51,0.48,359.29,127.25,187.59,2.89,0.89,1988.0,0,677.91,0,5,2,0
113,1966.0,3 - BSc/MSc,32208.0,1.0,1.0,498.54,0.14,506.54,10.0,71.68,7.89,14.89,1994.0,0,611.0,0,5,2,0
114,1954.0,2 - High School,37536.0,4.0,1.0,283.95,0.61,279.61,251.7,178.7,29.34,60.9,1979.0,0,800.25,0,5,1,1
115,1960.0,2 - High School,26172.0,3.0,1.0,525.88,0.41,142.47,437.3,246.49,43.12,70.46,1978.0,0,939.84,0,5,1,0
116,1948.0,3 - BSc/MSc,43800.0,3.0,0.0,305.05,0.62,324.95,330.05,159.14,31.34,26.56,1986.0,0,872.04,0,5,1,1
117,1984.0,2 - High School,17328.0,1.0,1.0,422.18,0.56,311.17,511.75,109.02,8.89,64.57,1989.0,0,1005.4000000000001,0,5,1,3
118,1956.0,3 - BSc/MSc,28824.0,4.0,1.0,290.17,0.57,273.94,181.7,199.15,29.45,41.23,1997.0,0,725.47,0,5,1,0
119,1989.0,1 - Basic,18216.0,1.0,1.0,643.24,0.18,286.5,294.5,78.57,87.24,68.68,1997.0,0,815.49,0,5,0,3
120,1959.0,1 - Basic,35484.0,1.0,1.0,68.35,0.89,230.71,343.95,152.03,93.35,36.23,1991.0,0,856.27,0,5,1,1
121,1969.0,3 - BSc/MSc,31368.0,1.0,1.0,319.31,0.35,442.64,-50.0,130.69,11.89,-5.11,1980.0,0,585.2199999999999,2,3,2,0
122,1990.0,2 - High School,16944.0,1.0,1.0,180.04,0.64,240.38,3.9,227.82,66.68,35.34,1991.0,0,574.12,0,5,1,2
123,1967.0,2 - High School,22236.0,4.0,1.0,-21.0,0.99,478.09,108.9,94.35,9.89,13.89,1977.0,0,705.12,0,5,2,2
124,1952.0,2 - High School,41772.0,3.0,0.0,-19.11,1.0,132.58,750.15,168.7,71.79,65.9,1978.0,0,1189.1200000000001,0,5,0,1
125,1946.0,3 - BSc/MSc,47652.0,1.0,0.0,23.8,0.91,202.04,-55.0,173.81,98.24,106.02,1982.0,0,580.11,1,4,1,1
126,1953.0,4 - PhD,39264.0,1.0,1.0,93.25,0.82,437.75,87.8,83.46,37.34,6.89,1979.0,0,653.24,0,5,2,1
127,1977.0,2 - High School,19380.0,4.0,1.0,317.06,0.49,219.04,113.35,311.06,10.78,20.45,1989.0,0,674.6800000000001,0,5,1,0
128,1968.0,2 - High School,27936.0,2.0,1.0,518.1,0.12,489.87,44.45,74.57,5.0,3.78,1997.0,0,617.6700000000001,0,5,2,0
129,1982.0,3 - BSc/MSc,17076.0,4.0,1.0,-67.23,1.06,167.92,171.7,347.51,21.56,20.67,1994.0,0,729.3599999999999,0,5,1,2
130,1943.0,3 - BSc/MSc,42924.0,2.0,0.0,100.79,0.82,243.27,138.35,237.71,35.34,47.9,1978.0,0,702.57,0,5,1,1
131,1977.0,4 - PhD,21720.0,2.0,1.0,543.21,0.14,490.98,79.45,86.35,-1.11,3.89,1977.0,1,660.6700000000001,1,4,2,0
132,1972.0,3 - BSc/MSc,30192.0,4.0,0.0,241.72,0.65,232.49,225.6,256.27,41.12,5.89,1988.0,0,761.37,0,5,1,0
133,1953.0,2 - High School,45588.0,4.0,0.0,456.76,0.31,354.51,127.25,105.13,104.02,9.89,1994.0,0,700.8,0,5,2,0
134,1976.0,2 - High School,30456.0,2.0,1.0,149.59,0.69,194.26,305.6,0.0,37.34,17.67,1979.0,0,554.87,0,4,2,2
135,1957.0,2 - High School,38652.0,1.0,1.0,649.67,0.25,320.17,349.5,193.48,30.45,5.0,1978.0,0,898.6000000000001,0,5,1,0
136,1959.0,2 - High School,33180.0,1.0,1.0,511.42,0.41,285.83,364.5,149.36,73.57,40.34,1987.0,0,913.6,0,5,1,0
137,1951.0,4 - PhD,37164.0,1.0,0.0,-12.11,0.98,391.63,152.25,131.47,18.67,5.78,1997.0,0,699.8,0,5,2,1
138,1986.0,4 - PhD,15192.0,2.0,1.0,210.71,0.66,213.04,138.35,287.5,19.56,42.23,1986.0,1,700.68,0,5,1,2
139,1980.0,2 - High School,21684.0,4.0,1.0,-44.78,1.03,345.73,18.9,180.48,35.34,19.78,1996.0,0,600.23,0,5,2,2
140,1986.0,1 - Basic,30648.0,1.0,1.0,-96.11,1.12,144.36,-11.1,381.85,47.23,12.78,1986.0,1,586.22,1,4,1,2
141,1983.0,3 - BSc/MSc,28104.0,4.0,1.0,72.8,0.85,272.72,97.8,177.7,48.12,57.79,1992.0,0,654.13,0,5,1,2
142,1954.0,2 - High School,35412.0,3.0,1.0,374.41,0.43,116.69,123.9,173.81,131.47,151.25,1979.0,0,697.12,0,5,0,0
143,1966.0,3 - BSc/MSc,31788.0,3.0,1.0,521.99,0.09,522.1,15.0,44.12,9.89,7.89,1982.0,0,599.0,0,5,2,0
144,1948.0,2 - High School,44232.0,4.0,0.0,463.54,0.47,264.94,426.75,167.81,30.45,31.34,1993.0,0,921.2900000000001,0,5,1,0
145,1984.0,2 - High School,13752.0,3.0,1.0,433.97,0.48,165.03,358.95,241.38,6.89,106.91,1984.0,1,879.16,0,5,1,3
146,1989.0,2 - High School,21036.0,4.0,0.0,10.34,0.97,125.8,785.7,79.57,136.47,101.13,1989.0,1,1228.67,0,5,0,2
147,1981.0,3 - BSc/MSc,20208.0,3.0,1.0,-40.55,1.03,423.08,-15.55,129.47,8.78,11.78,1990.0,0,573.1099999999999,1,4,2,2
148,1967.0,3 - BSc/MSc,27996.0,2.0,0.0,477.21,0.12,512.32,-10.0,58.9,3.89,4.0,1997.0,0,579.11,1,4,2,0
149,1992.0,3 - BSc/MSc,16248.0,3.0,0.0,589.33,0.43,100.13,614.55,321.84,-0.11,48.23,1992.0,1,1084.75,1,4,1,3
150,1949.0,2 - High School,45900.0,4.0,0.0,130.04,0.78,321.95,175.6,189.59,20.56,3.78,1984.0,0,711.4799999999999,0,5,1,1
151,1982.0,3 - BSc/MSc,14172.0,3.0,1.0,343.07,0.44,395.52,93.35,135.36,12.78,14.67,1988.0,0,651.68,0,5,2,2
152,1958.0,3 - BSc/MSc,36528.0,2.0,1.0,413.31,0.22,484.98,-35.0,71.79,26.56,11.67,1976.0,0,594.9999999999999,1,4,2,0
153,1974.0,3 - BSc/MSc,26808.0,2.0,1.0,-52.0,1.05,497.76,-15.0,91.35,7.89,-12.0,1996.0,0,597.0,2,3,2,2
154,1972.0,3 - BSc/MSc,36984.0,4.0,1.0,509.11,0.06,551.66,-15.55,28.45,7.0,-3.0,1983.0,0,587.11,2,3,2,0
155,1977.0,3 - BSc/MSc,27420.0,1.0,0.0,471.21,0.25,349.4,87.8,142.47,9.78,68.79,1977.0,1,658.2399999999999,0,5,2,0
156,1976.0,3 - BSc/MSc,19824.0,1.0,1.0,423.64,0.3,429.97,63.35,124.69,18.67,1.89,1984.0,0,638.5699999999999,0,5,2,0
157,1973.0,2 - High School,28944.0,4.0,1.0,103.02,0.81,416.08,128.35,127.47,7.89,-4.11,1991.0,0,679.79,1,4,2,2
158,1985.0,3 - BSc/MSc,16824.0,2.0,1.0,269.61,0.51,282.72,38.35,249.38,18.56,6.67,1997.0,0,595.68,0,5,1,2
159,1974.0,3 - BSc/MSc,25860.0,4.0,0.0,446.08,0.26,429.97,64.45,117.8,12.67,10.67,1981.0,0,635.56,0,5,2,0
160,1951.0,1 - Basic,43404.0,4.0,1.0,493.43,0.52,120.8,599.0,160.14,128.69,80.57,1995.0,0,1089.1999999999998,0,5,0,0
161,1941.0,3 - BSc/MSc,47928.0,2.0,0.0,188.93,0.67,228.6,97.25,284.61,14.67,25.67,1996.0,0,650.8,0,5,1,1
162,1997.0,2 - High School,11124.0,4.0,1.0,205.16,0.72,158.03,313.4,245.38,93.13,9.89,1997.0,1,819.8299999999999,0,5,1,2
163,1953.0,3 - BSc/MSc,38352.0,3.0,0.0,211.84,0.58,249.38,-10.55,311.17,4.78,3.78,1988.0,0,569.1099999999999,1,4,1,1
164,1941.0,1 - Basic,46992.0,4.0,0.0,455.87,0.4,182.7,274.5,212.93,23.67,106.8,1984.0,0,800.5999999999999,0,5,1,0
165,1960.0,2 - High School,31308.0,4.0,1.0,437.31,0.29,342.51,88.35,176.81,7.78,39.23,1987.0,0,654.6800000000001,0,5,2,0
166,1966.0,2 - High School,34824.0,2.0,1.0,5.34,0.96,256.05,342.85,132.47,40.34,70.68,1993.0,0,842.3900000000001,0,5,1,1
167,1979.0,4 - PhD,19968.0,1.0,1.0,38.01,0.9,458.31,63.9,99.24,1.89,2.78,1990.0,0,626.12,0,5,2,2
168,1966.0,2 - High School,34248.0,4.0,1.0,360.63,0.32,389.85,-5.0,151.03,24.45,5.78,1977.0,0,571.11,1,4,2,0
169,1968.0,3 - BSc/MSc,38376.0,4.0,0.0,-57.9,1.05,236.49,88.9,230.82,57.9,63.9,1985.0,0,678.01,0,5,1,1
170,1963.0,2 - High School,25236.0,3.0,1.0,453.2,0.28,455.42,78.35,104.13,3.0,19.78,1987.0,0,660.68,0,5,2,0
171,1976.0,3 - BSc/MSc,23748.0,3.0,1.0,74.35,0.86,324.06,113.35,216.93,11.67,25.67,1988.0,0,691.6799999999998,0,5,1,2
172,1982.0,2 - High School,20868.0,3.0,0.0,284.07,0.6,99.02,263.95,158.03,45.12,209.04,1984.0,0,775.16,0,5,0,2
173,1944.0,3 - BSc/MSc,38808.0,3.0,0.0,61.13,0.91,162.81,397.85,242.38,76.68,38.45,1980.0,0,918.1700000000001,0,5,1,1
174,1941.0,2 - High School,49092.0,1.0,0.0,-25.66,1.0,263.05,363.4,220.93,28.56,-0.22,1982.0,0,875.94,1,4,1,1
175,1991.0,2 - High School,9912.0,1.0,0.0,133.92,0.86,158.92,634.0,207.26,73.57,23.45,1995.0,0,1097.2,0,5,0,3
176,1973.0,3 - BSc/MSc,26340.0,2.0,1.0,465.65,0.22,431.86,59.45,129.58,6.89,-0.22,1977.0,0,627.78,1,4,2,0
